question_id,question,direct_latency,a2a_latency,latency_overhead,direct_accurate,a2a_accurate,direct_prompt_tokens,a2a_prompt_tokens,direct_completion_tokens,a2a_completion_tokens,direct_tool_calls,a2a_tool_calls
1,Top 5 movies by IMDb rating,43.04,41.57,-3.4%,True,True,3562,3562,278,278,3,3
2,Top 5 movies by number of votes,53.11,50.25,-5.4%,True,True,3646,3646,387,387,3,3
3,How many movies are in the dataset?,19.22,19.23,+0.1%,True,True,3461,3461,127,127,3,3
4,Average IMDb rating of all movies,18.83,19.0,+0.9%,True,True,3456,3456,123,123,3,3
5,Top 5 directors by number of movies,44.39,47.67,+7.4%,True,True,4541,4541,336,336,4,4
6,Movies with IMDb rating above 9,32.07,34.04,+6.1%,True,True,3530,3530,228,228,3,3
7,Top 5 movies with highest gross revenue,50.61,49.91,-1.4%,True,True,3631,3631,360,360,3,3
8,"Movies with more than 1,000,000 votes",33.24,36.55,+10.0%,True,True,1631,1631,271,271,1,1
9,Top 5 directors by average IMDb rating with at least 3 movies,48.23,58.2,+20.7%,True,True,3717,3717,370,370,3,3
10,Oldest movie in the dataset,20.85,25.47,+22.2%,False,False,3472,3472,142,142,3,3
,,,,,,,,,,,,
,Avg Latency (s),36.36,38.19,+5.0%,,,,,,,,
,Accuracy,9/10,9/10,,,,,,,,,
,Total Prompt Tokens,34647,34647,+0.0%,,,,,,,,
,Total Completion Tokens,2622,2622,+0.0%,,,,,,,,
,Avg Tool Calls,2.9,2.9,,,,,,,,,
,Model,qwen2.5:7b,qwen2.5:7b,,,,,,,,,
